x,analytical,forward,backward,central2,central4
0.000000000000,-5.000000000000,-4.997816927068,-4.997816927068,-4.997816927068,-4.997816927068
0.010000000000,-4.993451301975,-4.984724737615,-4.997816927068,-4.991270832341,-4.991270832341
0.020000000000,-4.973820826390,-4.958571582677,-4.984724737615,-4.971648160146,-4.973819790236
0.030000000000,-4.941155389680,-4.919419832146,-4.958571582677,-4.938995707412,-4.941154360017
0.040000000000,-4.895532889206,-4.867362845946,-4.919419832146,-4.893391339046,-4.895531868607
0.050000000000,-4.837062108553,-4.802524740682,-4.867362845946,-4.834943793314,-4.837061099570
0.060000000000,-4.765882445628,-4.725060079411,-4.802524740682,-4.763792410046,-4.765881450782
0.070000000000,-4.682163564237,-4.635153485320,-4.725060079411,-4.680106782366,-4.682162586015
0.080000000000,-4.586104970014,-4.533019180258,-4.635153485320,-4.584086332789,-4.586104010861
0.090000000000,-4.477935511763,-4.418900449297,-4.533019180258,-4.475959814778,-4.477934574077
0.100000000000,-4.357912809452,-4.293069032646,-4.418900449297,-4.355984740971,-4.357911895575
0.110000000000,-4.226322610298,-4.155824446438,-4.293069032646,-4.224446739542,-4.226321722515
0.120000000000,-4.083478074548,-4.007493234100,-4.155824446438,-4.081658840269,-4.083477215080
0.130000000000,-3.929718992745,-3.848428150165,-4.007493234100,-3.927960692133,-3.929718163738
0.140000000000,-3.765410936422,-3.679007278564,-3.848428150165,-3.763717714365,-3.765410139949
0.150000000000,-3.590944344369,-3.499633087619,-3.679007278564,-3.589320183092,-3.590943582420
0.160000000000,-3.406733546736,-3.310731424077,-3.499633087619,-3.405182255848,-3.406732821216
0.170000000000,-3.213215729425,-3.112750448719,-3.310731424077,-3.211740936398,-3.213215042147
0.180000000000,-3.010849841353,-2.906159516189,-3.112750448719,-3.009454982454,-3.010849194036
0.190000000000,-2.800115447319,-2.691448001852,-2.906159516189,-2.798803759021,-2.800114841580
0.200000000000,-2.581511529341,-2.469124078612,-2.691448001852,-2.580286040232,-2.581510966693
0.210000000000,-2.355555239459,-2.239713446742,-2.469124078612,-2.354418762677,-2.355554721310
0.220000000000,-2.122780607128,-2.003758019909,-2.239713446742,-2.121735733325,-2.122780134773
0.230000000000,-1.883737204421,-1.761814570671,-2.003758019909,-1.882786295290,-1.883736779040
0.240000000000,-1.638988772383,-1.514453338836,-1.761814570671,-1.638133954753,-1.638988395040
0.250000000000,-1.389111811976,-1.262256606161,-1.514453338836,-1.388354972498,-1.389111483613
0.260000000000,-1.134694143123,-1.005817240947,-1.262256606161,-1.134036923554,-1.134693864561
0.270000000000,-0.876333435465,-0.745737216180,-1.005817240947,-0.875777228563,-0.876333207401
0.280000000000,-0.614635714501,-0.482626104913,-0.745737216180,-0.614181660546,-0.614635537505
0.290000000000,-0.350213846837,-0.217099556647,-0.482626104913,-0.349862830780,-0.350213721350
0.300000000000,-0.083686008339,0.050222241470,-0.217099556647,-0.083438657588,-0.083685934676
0.310000000000,0.184325860985,0.318716114785,0.050222241470,0.184469178127,0.184325882639
0.320000000000,0.453197611506,0.587757458759,0.318716114785,0.453236786772,0.453197581099
0.330000000000,0.722304444034,0.856721800145,0.587757458759,0.722239629452,0.722304361641
0.340000000000,0.991022471478,1.124986357853,0.856721800145,0.990854078999,0.991022337305
0.350000000000,1.258730278247,1.391931599574,1.124986357853,1.258458978714,1.258730092630
0.360000000000,1.524810473465,1.656942790290,1.391931599574,1.524437194932,1.524810236867
0.370000000000,1.788651234123,1.919411528789,1.656942790290,1.788177159539,1.788650947135
0.380000000000,2.049647834318,2.178737268355,1.919411528789,2.049074398572,2.049647497658
0.390000000000,2.307204156756,2.434328817819,2.178737268355,2.306533043087,2.307203771266
0.400000000000,2.560734182736,2.685605819231,2.434328817819,2.559967318525,2.560733749378
0.410000000000,2.809663456884,2.932000198450,2.685605819231,2.808803008840,2.809662976742
0.420000000000,3.053430522999,3.172957585038,2.932000198450,3.052478891744,3.053429997274
0.430000000000,3.291488327401,3.407938697891,3.172957585038,3.290448141464,3.291487757407
0.440000000000,3.523305586277,3.636420693167,3.407938697891,3.522179695529,3.523304973437
0.450000000000,3.748368113614,3.857898471120,3.636420693167,3.747159582143,3.748367459461
0.460000000000,3.966180106399,4.071885938588,3.857898471120,3.964892204854,3.966179412568
0.470000000000,4.176265383868,4.277917223969,4.071885938588,4.174901581278,4.176264652093
0.480000000000,4.378168577706,4.475547841665,4.277917223969,4.376732532817,4.378167809816
