x,exact_t0,upwind_t0,quick_t0,exact_t0.5,upwind_t0.5,quick_t0.5,exact_t1,upwind_t1,quick_t1
0.0760000000,0.8163392507,0.8163392507,0.8163392507,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.0780000000,0.8305958992,0.8305958992,0.8305958992,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0800000000,0.8443279255,0.8443279255,0.8443279255,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0820000000,0.8575266562,0.8575266562,0.8575266562,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.0840000000,0.8701837547,0.8701837547,0.8701837547,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.0860000000,0.8822912264,0.8822912264,0.8822912264,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0880000000,0.8938414242,0.8938414242,0.8938414242,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0900000000,0.9048270525,0.9048270525,0.9048270525,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.0920000000,0.9152411726,0.9152411726,0.9152411726,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.0940000000,0.9250772068,0.9250772068,0.9250772068,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0960000000,0.9343289425,0.9343289425,0.9343289425,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0980000000,0.9429905359,0.9429905359,0.9429905359,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.1000000000,0.9510565163,0.9510565163,0.9510565163,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.1020000000,0.9585217890,0.9585217890,0.9585217890,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1040000000,0.9653816388,0.9653816388,0.9653816388,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1060000000,0.9716317329,0.9716317329,0.9716317329,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.1080000000,0.9772681236,0.9772681236,0.9772681236,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.1100000000,0.9822872507,0.9822872507,0.9822872507,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1120000000,0.9866859442,0.9866859442,0.9866859442,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1140000000,0.9904614257,0.9904614257,0.9904614257,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.1160000000,0.9936113105,0.9936113105,0.9936113105,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.1180000000,0.9961336091,0.9961336091,0.9961336091,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1200000000,0.9980267284,0.9980267284,0.9980267284,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1220000000,0.9992894726,0.9992894726,0.9992894726,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.1240000000,0.9999210442,0.9999210442,0.9999210442,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.1260000000,0.9999210442,0.9999210442,0.9999210442,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1280000000,0.9992894726,0.9992894726,0.9992894726,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1300000000,0.9980267284,0.9980267284,0.9980267284,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.1320000000,0.9961336091,0.9961336091,0.9961336091,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.1340000000,0.9936113105,0.9936113105,0.9936113105,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1360000000,0.9904614257,0.9904614257,0.9904614257,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1380000000,0.9866859442,0.9866859442,0.9866859442,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.1400000000,0.9822872507,0.9822872507,0.9822872507,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.1420000000,0.9772681236,0.9772681236,0.9772681236,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1440000000,0.9716317329,0.9716317329,0.9716317329,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1460000000,0.9653816388,0.9653816388,0.9653816388,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.1480000000,0.9585217890,0.9585217890,0.9585217890,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.1500000000,0.9510565163,0.9510565163,0.9510565163,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1520000000,0.9429905359,0.9429905359,0.9429905359,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1540000000,0.9343289425,0.9343289425,0.9343289425,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.1560000000,0.9250772068,0.9250772068,0.9250772068,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.1580000000,0.9152411726,0.9152411726,0.9152411726,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.1600000000,0.9048270525,0.9048270525,0.9048270525,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1620000000,0.8938414242,0.8938414242,0.8938414242,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1640000000,0.8822912264,0.8822912264,0.8822912264,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.1660000000,0.8701837547,0.8701837547,0.8701837547,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.1680000000,0.8575266562,0.8575266562,0.8575266562,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1700000000,0.8443279255,0.8443279255,0.8443279255,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1720000000,0.8305958992,0.8305958992,0.8305958992,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.1740000000,0.8163392507,0.8163392507,0.8163392507,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.1760000000,0.8015669849,0.8015669849,0.8015669849,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1780000000,0.7862884321,0.7862884321,0.7862884321,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1800000000,0.7705132428,0.7705132428,0.7705132428,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.1820000000,0.7542513807,0.7542513807,0.7542513807,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.1840000000,0.7375131174,0.7375131174,0.7375131174,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1860000000,0.7203090249,0.7203090249,0.7203090249,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1880000000,0.7026499698,0.7026499698,0.7026499698,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.1900000000,0.6845471059,0.6845471059,0.6845471059,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.1920000000,0.6660118674,0.6660118674,0.6660118674,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1940000000,0.6470559616,0.6470559616,0.6470559616,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1960000000,0.6276913613,0.6276913613,0.6276913613,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.1980000000,0.6079302977,0.6079302977,0.6079302977,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.2000000000,0.5877852523,0.5877852523,0.5877852523,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.2020000000,0.5672689491,0.5672689491,0.5672689491,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
