coord,phi_vs_x_at_y0,phi_vs_y_at_x0
-1.0000000000,0.0000000000,0.0000000000
-0.9900000000,0.0037467933,0.0043457723
-0.9800000000,0.0073953585,0.0085925331
-0.9700000000,0.0109474666,0.0127412723
-0.9600000000,0.0144048878,0.0167929826
-0.9500000000,0.0177693906,0.0207486607
-0.9400000000,0.0210427412,0.0246093089
-0.9300000000,0.0242267032,0.0283759359
-0.9200000000,0.0273230367,0.0320495587
-0.9100000000,0.0303334983,0.0356312035
-0.9000000000,0.0332598398,0.0391219068
-0.8900000000,0.0361038086,0.0425227168
-0.8800000000,0.0388671463,0.0458346943
-0.8700000000,0.0415515886,0.0490589137
-0.8600000000,0.0441588650,0.0521964641
-0.8500000000,0.0466906979,0.0552484498
-0.8400000000,0.0491488020,0.0582159917
-0.8300000000,0.0515348845,0.0611002273
-0.8200000000,0.0538506439,0.0639023121
-0.8100000000,0.0560977697,0.0666234192
-0.8000000000,0.0582779423,0.0692647405
-0.7900000000,0.0603928321,0.0718274868
-0.7800000000,0.0624440992,0.0743128878
-0.7700000000,0.0644333929,0.0767221926
-0.7600000000,0.0663623517,0.0790566694
-0.7500000000,0.0682326021,0.0813176056
-0.7400000000,0.0700457588,0.0835063075
-0.7300000000,0.0718034243,0.0856241001
-0.7200000000,0.0735071880,0.0876723268
-0.7100000000,0.0751586264,0.0896523485
-0.7000000000,0.0767593025,0.0915655433
-0.6900000000,0.0783107653,0.0934133058
-0.6800000000,0.0798145497,0.0951970461
-0.6700000000,0.0812721759,0.0969181888
-0.6600000000,0.0826851496,0.0985781723
-0.6500000000,0.0840549611,0.1001784473
-0.6400000000,0.0853830852,0.1017204759
-0.6300000000,0.0866709812,0.1032057300
-0.6200000000,0.0879200920,0.1046356902
-0.6100000000,0.0891318447,0.1060118440
-0.6000000000,0.0903076494,0.1073356845
-0.5900000000,0.0914488999,0.1086087087
-0.5800000000,0.0925569726,0.1098324157
-0.5700000000,0.0936332270,0.1110083052
-0.5600000000,0.0946790049,0.1121378754
-0.5500000000,0.0956956306,0.1132226214
-0.5400000000,0.0966844106,0.1142640330
-0.5300000000,0.0976466334,0.1152635933
-0.5200000000,0.0985835694,0.1162227760
-0.5100000000,0.0994964706,0.1171430442
-0.5000000000,0.1003865704,0.1180258478
-0.4900000000,0.1012550839,0.1188726217
-0.4800000000,0.1021032073,0.1196847841
-0.4700000000,0.1029321179,0.1204637339
-0.4600000000,0.1037429740,0.1212108492
-0.4500000000,0.1045369149,0.1219274851
-0.4400000000,0.1053150608,0.1226149721
-0.4300000000,0.1060785123,0.1232746137
-0.4200000000,0.1068283511,0.1239076847
-0.4100000000,0.1075656390,0.1245154297
-0.4000000000,0.1082914186,0.1250990611
-0.3900000000,0.1090067128,0.1256597572
-0.3800000000,0.1097125249,0.1261986611
-0.3700000000,0.1104098386,0.1267168786
-0.3600000000,0.1110996177,0.1272154770
-0.3500000000,0.1117828063,0.1276954837
-0.3400000000,0.1124603288,0.1281578849
-0.3300000000,0.1131330896,0.1286036242
-0.3200000000,0.1138019733,0.1290336018
-0.3100000000,0.1144678447,0.1294486730
-0.3000000000,0.1151315485,0.1298496480
-0.2900000000,0.1157939096,0.1302372905
-0.2800000000,0.1164557331,0.1306123170
-0.2700000000,0.1171178038,0.1309753968
-0.2600000000,0.1177808870,0.1313271509
-0.2500000000,0.1184457276,0.1316681520
-0.2400000000,0.1191130509,0.1319989242
-0.2300000000,0.1197835621,0.1323199428
-0.2200000000,0.1204579465,0.1326316344
-0.2100000000,0.1211368694,0.1329343769
-0.2000000000,0.1218209763,0.1332285002
-0.1900000000,0.1225108926,0.1335142858
-0.1800000000,0.1232072240,0.1337919678
-0.1700000000,0.1239105562,0.1340617334
-0.1600000000,0.1246214551,0.1343237234
-0.1500000000,0.1253404665,0.1345780334
-0.1400000000,0.1260681167,0.1348247141
-0.1300000000,0.1268049118,0.1350637730
-0.1200000000,0.1275513385,0.1352951749
-0.1100000000,0.1283078633,0.1355188433
-0.1000000000,0.1290749331,0.1357346618
-0.0900000000,0.1298529750,0.1359424753
-0.0800000000,0.1306423965,0.1361420916
-0.0700000000,0.1314435850,0.1363332826
-0.0600000000,0.1322569084,0.1365157862
-0.0500000000,0.1330827150,0.1366893075
-0.0400000000,0.1339213332,0.1368535211
-0.0300000000,0.1347730717,0.1370080721
-0.0200000000,0.1356382196,0.1371525783
-0.0100000000,0.1365170463,0.1372866320
0.0000000000,0.1374098015,0.1374098015
0.0100000000,0.1383167155,0.1375216333
0.0200000000,0.1392379985,0.1376216534
0.0300000000,0.1401738413,0.1377093697
0.0400000000,0.1411244152,0.1377842736
0.0500000000,0.1420898715,0.1378458417
0.0600000000,0.1430703422,0.1378935376
0.0700000000,0.1440659394,0.1379268140
0.0800000000,0.1450767556,0.1379451140
0.0900000000,0.1461028638,0.1379478730
0.1000000000,0.1471443170,0.1379345204
0.1100000000,0.1482011489,0.1379044810
0.1200000000,0.1492733732,0.1378571767
0.1300000000,0.1503609841,0.1377920278
0.1400000000,0.1514639560,0.1377084548
0.1500000000,0.1525822434,0.1376058790
0.1600000000,0.1537157813,0.1374837246
0.1700000000,0.1548644846,0.1373414189
0.1800000000,0.1560282488,0.1371783944
0.1900000000,0.1572069491,0.1369940887
0.2000000000,0.1584004411,0.1367879463
0.2100000000,0.1596085604,0.1365594186
0.2200000000,0.1608311228,0.1363079653
0.2300000000,0.1620679238,0.1360330541
0.2400000000,0.1633187392,0.1357341621
0.2500000000,0.1645833245,0.1354107751
0.2600000000,0.1658614153,0.1350623888
0.2700000000,0.1671527268,0.1346885082
0.2800000000,0.1684569543,0.1342886480
0.2900000000,0.1697737726,0.1338623322
0.3000000000,0.1711028362,0.1334090941
0.3100000000,0.1724437793,0.1329284760
0.3200000000,0.1737962158,0.1324200284
0.3300000000,0.1751597389,0.1318833098
0.3400000000,0.1765339214,0.1313178861
0.3500000000,0.1779183153,0.1307233294
0.3600000000,0.1793124523,0.1300992176
0.3700000000,0.1807158429,0.1294451334
0.3800000000,0.1821279771,0.1287606629
0.3900000000,0.1835483238,0.1280453950
0.4000000000,0.1849763313,0.1272989197
0.4100000000,0.1864114264,0.1265208274
0.4200000000,0.1878530151,0.1257107071
0.4300000000,0.1893004821,0.1248681451
0.4400000000,0.1907531908,0.1239927236
0.4500000000,0.1922104833,0.1230840193
0.4600000000,0.1936716804,0.1221416017
0.4700000000,0.1951360810,0.1211650315
0.4800000000,0.1966029627,0.1201538591
0.4900000000,0.1980715813,0.1191076230
0.5000000000,0.1995411709,0.1180258478
0.5100000000,0.2010109437,0.1169080429
0.5200000000,0.2024800897,0.1157537010
0.5300000000,0.2039477771,0.1145622956
0.5400000000,0.2054131520,0.1133332805
0.5500000000,0.2068753379,0.1120660872
0.5600000000,0.2083334365,0.1107601240
0.5700000000,0.2097865265,0.1094147738
0.5800000000,0.2112336645,0.1080293933
0.5900000000,0.2126738843,0.1066033110
0.6000000000,0.2141061970,0.1051358259
0.6100000000,0.2155295910,0.1036262063
0.6200000000,0.2169430315,0.1020736884
0.6300000000,0.2183454610,0.1004774752
0.6400000000,0.2197357988,0.0988367352
0.6500000000,0.2211129411,0.0971506016
0.6600000000,0.2224757607,0.0954181711
0.6700000000,0.2238231071,0.0936385032
0.6800000000,0.2251538063,0.0918106195
0.6900000000,0.2264666608,0.0899335029
0.7000000000,0.2277604494,0.0880060973
0.7100000000,0.2290339272,0.0860273068
0.7200000000,0.2302858255,0.0839959959
0.7300000000,0.2315148516,0.0819109888
0.7400000000,0.2327196890,0.0797710696
0.7500000000,0.2338989970,0.0775749825
0.7600000000,0.2350514107,0.0753214316
0.7700000000,0.2361755411,0.0730090813
0.7800000000,0.2372699749,0.0706365569
0.7900000000,0.2383332743,0.0682024451
0.8000000000,0.2393639772,0.0657052944
0.8100000000,0.2403605967,0.0631436162
0.8200000000,0.2413216217,0.0605158855
0.8300000000,0.2422455162,0.0578205417
0.8400000000,0.2431307195,0.0550559905
0.8500000000,0.2439756462,0.0522206041
0.8600000000,0.2447786860,0.0493127234
0.8700000000,0.2455382037,0.0463306589
0.8800000000,0.2462525393,0.0432726925
0.8900000000,0.2469200076,0.0401370791
0.9000000000,0.2475388987,0.0369220481
0.9100000000,0.2481074772,0.0336258057
0.9200000000,0.2486239830,0.0302465363
0.9300000000,0.2490866306,0.0267824045
0.9400000000,0.2494936094,0.0232315574
0.9500000000,0.2498430837,0.0195921266
0.9600000000,0.2501331923,0.0158622301
0.9700000000,0.2503620491,0.0120399747
0.9800000000,0.2505277426,0.0081234580
0.9900000000,0.2506283359,0.0041107710
1.0000000000,0.2506618670,0.0000000000
